tacgia,Link,NamSinh,Quote,Tuoi
Allen Saunders,http://quotes.toscrape.com//author/Allen-Saunders,1899-04-24,“Life is what happens to us while we are making other plans.”,86
Pablo Neruda,http://quotes.toscrape.com//author/Pablo-Neruda,1904-07-12,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",69
Ralph Waldo Emerson,http://quotes.toscrape.com//author/Ralph-Waldo-Emerson,1803-05-25,“For every minute you are angry you lose sixty seconds of happiness.”,78
Mother Teresa,http://quotes.toscrape.com//author/Mother-Teresa,1910-08-26,"“If you judge people, you have no time to love them.”",87
Garrison Keillor,http://quotes.toscrape.com//author/Garrison-Keillor,1942-08-07,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,80
Jim Henson,http://quotes.toscrape.com//author/Jim-Henson,1936-09-24,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,53
Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,1904-03-02,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",87
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,1879-03-14,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",76
J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,1965-07-31,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",57
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,1879-03-14,“Logic will get you from A to Z; imagination will get you everywhere.”,76
Bob Marley,http://quotes.toscrape.com//author/Bob-Marley,1945-02-06,"“One good thing about music, when it hits you, you feel no pain.”",36
Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,1904-03-02,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",87
J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,1965-07-31,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",57
Bob Marley,http://quotes.toscrape.com//author/Bob-Marley,1945-02-06,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",36
Mother Teresa,http://quotes.toscrape.com//author/Mother-Teresa,1910-08-26,“Not all of us can do great things. But we can do small things with great love.”,87
J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,1965-07-31,"“To the well-organized mind, death is but the next great adventure.”",57
Charles M. Schulz,http://quotes.toscrape.com//author/Charles-M-Schulz,1922-11-26,“All you need is love. But a little chocolate now and then doesn't hurt.”,77
William Nicholson,http://quotes.toscrape.com//author/William-Nicholson,1948-01-12,“We read to know we're not alone.”,74
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,1879-03-14,“Any fool can know. The point is to understand.”,76
Jorge Luis Borges,http://quotes.toscrape.com//author/Jorge-Luis-Borges,1899-08-24,“I have always imagined that Paradise will be a kind of library.”,86
George Eliot,http://quotes.toscrape.com//author/George-Eliot,1819-11-22,“It is never too late to be what you might have been.”,61
George R.R. Martin,http://quotes.toscrape.com//author/George-R-R-Martin,1948-09-20,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",74
C.S. Lewis,http://quotes.toscrape.com//author/C-S-Lewis,1898-11-29,“You can never get a cup of tea large enough or a book long enough to suit me.”,64
Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,1926-06-01,“You believe lies so you eventually learn to trust no one but yourself.”,36
Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,1926-06-01,"“If you can make a woman laugh, you can make her do anything.”",36
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,1879-03-14,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",76
Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,1926-06-01,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,36
Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,1926-06-01,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",36
Martin Luther King Jr.,http://quotes.toscrape.com//author/Martin-Luther-King-Jr,1929-01-15,“Only in the darkness can you see the stars.”,39
J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,1965-07-31,"“It matters not what someone is born, but what they grow to be.”",57
James Baldwin,http://quotes.toscrape.com//author/James-Baldwin,1924-08-02,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",63
Jane Austen,http://quotes.toscrape.com//author/Jane-Austen,1775-12-16,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",41
Eleanor Roosevelt,http://quotes.toscrape.com//author/Eleanor-Roosevelt,1884-10-11,“Do one thing every day that scares you.”,78
Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,1926-06-01,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",36
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,1879-03-14,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",76
Haruki Murakami,http://quotes.toscrape.com//author/Haruki-Murakami,1949-01-12,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",73
Alexandre Dumas fils,http://quotes.toscrape.com//author/Alexandre-Dumas-fils,1824-07-27,“The difference between genius and stupidity is: genius has its limits.”,71
Stephenie Meyer,http://quotes.toscrape.com//author/Stephenie-Meyer,1973-12-24,"“He's like a drug for you, Bella.”",48
Ernest Hemingway,http://quotes.toscrape.com//author/Ernest-Hemingway,1899-07-21,“There is no friend as loyal as a book.”,61
Helen Keller,http://quotes.toscrape.com//author/Helen-Keller,1880-06-27,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",87
George Bernard Shaw,http://quotes.toscrape.com//author/George-Bernard-Shaw,1856-07-26,“Life isn't about finding yourself. Life is about creating yourself.”,94
Charles Bukowski,http://quotes.toscrape.com//author/Charles-Bukowski,1920-08-16,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",73
Suzanne Collins,http://quotes.toscrape.com//author/Suzanne-Collins,1962-08-11,“You don’t forget the face of the person who was your last hope.”,60
Suzanne Collins,http://quotes.toscrape.com//author/Suzanne-Collins,1962-08-11,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",60
C.S. Lewis,http://quotes.toscrape.com//author/C-S-Lewis,1898-11-29,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",64
J.R.R. Tolkien,http://quotes.toscrape.com//author/J-R-R-Tolkien,1892-01-03,“Not all those who wander are lost.”,81
J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,1965-07-31,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",57
Ernest Hemingway,http://quotes.toscrape.com//author/Ernest-Hemingway,1899-07-21,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,61
Ralph Waldo Emerson,http://quotes.toscrape.com//author/Ralph-Waldo-Emerson,1803-05-25,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,78
Mark Twain,http://quotes.toscrape.com//author/Mark-Twain,1835-11-30,“I have never let my schooling interfere with my education.”,74
Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,1904-03-02,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,87
Alfred Tennyson,http://quotes.toscrape.com//author/Alfred-Tennyson,1809-08-06,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,83
Charles Bukowski,http://quotes.toscrape.com//author/Charles-Bukowski,1920-08-16,“Some people never go crazy. What truly horrible lives they must lead.”,73
Terry Pratchett,http://quotes.toscrape.com//author/Terry-Pratchett,1948-04-28,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",66
Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,1904-03-02,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",87
J.D. Salinger,http://quotes.toscrape.com//author/J-D-Salinger,1919-01-01,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",91
George Carlin,http://quotes.toscrape.com//author/George-Carlin,1937-05-12,“The reason I talk to myself is because I’m the only one whose answers I accept.”,71
John Lennon,http://quotes.toscrape.com//author/John-Lennon,1940-10-09,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",40
W.C. Fields,http://quotes.toscrape.com//author/W-C-Fields,1880-01-29,“I am free of all prejudice. I hate everyone equally. ”,66
Ayn Rand,http://quotes.toscrape.com//author/Ayn-Rand,1905-02-02,“The question isn't who is going to let me; it's who is going to stop me.”,77
Mark Twain,http://quotes.toscrape.com//author/Mark-Twain,1835-11-30,“′Classic′ - a book which people praise and don't read.”,74
Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,1879-03-14,“Anyone who has never made a mistake has never tried anything new.”,76
Jane Austen,http://quotes.toscrape.com//author/Jane-Austen,1775-12-16,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",41
J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,1965-07-31,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",57
Jane Austen,http://quotes.toscrape.com//author/Jane-Austen,1775-12-16,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",41
Jane Austen,http://quotes.toscrape.com//author/Jane-Austen,1775-12-16,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",41
C.S. Lewis,http://quotes.toscrape.com//author/C-S-Lewis,1898-11-29,“Some day you will be old enough to start reading fairy tales again.”,64
C.S. Lewis,http://quotes.toscrape.com//author/C-S-Lewis,1898-11-29,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,64
Mark Twain,http://quotes.toscrape.com//author/Mark-Twain,1835-11-30,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,74
Mark Twain,http://quotes.toscrape.com//author/Mark-Twain,1835-11-30,“A lie can travel half way around the world while the truth is putting on its shoes.”,74
C.S. Lewis,http://quotes.toscrape.com//author/C-S-Lewis,1898-11-29,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",64
J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,1965-07-31,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",57
Jimi Hendrix,http://quotes.toscrape.com//author/Jimi-Hendrix,1942-11-27,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",27
J.M. Barrie,http://quotes.toscrape.com//author/J-M-Barrie,1860-05-09,“To die will be an awfully big adventure.”,77
E.E. Cummings,http://quotes.toscrape.com//author/E-E-Cummings,1894-10-14,“It takes courage to grow up and become who you really are.”,67
Khaled Hosseini,http://quotes.toscrape.com//author/Khaled-Hosseini,1965-03-04,“But better to get hurt by the truth than comforted with a lie.”,57
Harper Lee,http://quotes.toscrape.com//author/Harper-Lee,1926-04-28,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,89
Madeleine L'Engle,http://quotes.toscrape.com//author/Madeleine-LEngle,1918-11-29,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",88
Mark Twain,http://quotes.toscrape.com//author/Mark-Twain,1835-11-30,“Never tell the truth to people who are not worthy of it.”,74
Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,1904-03-02,"“A person's a person, no matter how small.”",87
George R.R. Martin,http://quotes.toscrape.com//author/George-R-R-Martin,1948-09-20,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",74
